burst duration,within-burst spiking freq,within-burst max spiking freq,within-burst number of spikes,inter-burst interval,percentage of burst spikes,burst frequency,mean surprise,max surprise,Subject,Neuron,Stimuli
0.19320000000000448,67.28778467908747,67.28778467908747,13,0.0,0.38235294117647056,1.0138902970698571,2.5520036592828657,2.5520036592828657,070922,S1U1,Ner
0.09270000000000778,75.51240560948665,79.36507936508531,7,0.0379999999999967,0.1794871794871795,2.016332291561676,1.2617770300744393,1.3042723513453107,070922,S1U1,Ner
0.2936000000000121,57.90190735694585,78.1250000000086,17,0.49749999999998806,0.5666666666666667,4.065453806281162,1.1591777313838034,1.4773419323733403,070922,S1U1,Ner
0.14399999999999125,83.3333333333384,105.26315789474597,12,0.7421999999999969,0.32432432432432434,3.006012024048125,1.2170352657032968,1.807521756232279,070922,S1U1,Ner
0.09640000000001692,114.10788381740736,152.4390243902029,11,0.10359999999998593,0.2682926829268293,2.0052135552436643,1.6007694265065802,1.7702004509113514,070922,S1U1,Ner
0.5659999999999883,5.300353356890569,5.300353356890569,3,0.0,0.75,1.021763563911322,1.2036060821584469,1.2036060821584469,070922,S2U1,Ner
0.12539999999999907,103.66826156299918,162.16216216213525,13,0.6816000000000031,0.3023255813953488,4.014049172102368,1.088809409234972,1.2448358350807553,070922,S2U2,Ner
0.15439999999999543,103.62694300518442,132.45033112585602,16,0.5078000000000031,0.42105263157894735,3.1615554852987846,1.181056266424627,1.6993001936300962,070922,S2U2,Ner
0.40790000000001214,46.58004412846147,111.94029850748615,19,0.30699999999998795,0.5588235294117647,4.154117769238799,1.4348797491654683,2.1491326923095078,070922,S2U2,Ner
0.2582999999999913,85.17228029423438,103.0927835051457,22,0.5271000000000043,0.6285714285714286,3.100454733360924,1.381560236072195,2.000692817726694,070922,S2U2,Ner
0.0707000000000022,42.43281471004111,42.43281471004111,3,0.0,0.08571428571428572,1.0241704219582306,0.9825492704894638,0.9825492704894638,070922,S2U2,Ner
0.06059999999999377,82.508250825091,82.508250825091,5,0.0,0.17857142857142858,1.016156894624532,1.3096754232687835,1.3096754232687835,070922,S2U3,Ner
0.039499999999989654,75.94936708862748,75.94936708862748,3,0.0,0.10344827586206896,1.0242753252074213,0.6663572865859965,0.6663572865859965,070922,S2U3,Ner
0.08259999999999934,72.63922518159865,72.63922518159865,6,0.0,0.1935483870967742,1.0220768601798924,1.1100711249934774,1.1100711249934774,070922,S2U3,Ner
0.05930000000000746,67.45362563236925,67.45362563236925,4,0.0,0.14285714285714285,1.0107135637760225,0.71545647704125,0.71545647704125,070922,S2U3,Ner
0.05129999999999768,58.47953216374533,58.47953216374533,3,0.0,0.1,1.0350895352448015,0.669369133678579,0.669369133678579,070922,S2U3,Ner
0.18949999999999534,36.93931398416977,80.64516129032569,7,0.27719999999999345,0.3333333333333333,2.08094891270422,1.2097743462429456,1.5867153274950014,070922,S2U4,Ner
0.08090000000001396,74.16563658836792,87.71929824558156,6,0.3760999999999939,0.18181818181818182,2.0321072952652166,0.7522584049632557,0.8264961423795033,070922,S2U4,Ner
0.21160000000000423,66.16257088846749,83.16008316008656,14,0.6687000000000012,0.4827586206896552,3.314917127071871,1.0874011095781746,1.5287126905966297,070922,S2U4,Ner
0.12720000000000198,39.30817610062832,39.30817610062832,5,0.0,0.23809523809523808,1.0029084344599306,1.322570998488328,1.322570998488328,070922,S2U4,Ner
0.0852000000000146,70.42253521125554,124.48132780080803,6,0.07429999999999382,0.2222222222222222,2.1563342318059417,0.9574940186187464,1.1548653567076708,070922,S2U4,Ner
0.10389999999999588,105.87102983638533,129.87012987013293,11,0.633899999999997,0.3055555555555556,3.0435223698894363,1.2396407279860602,1.4861154842393918,070922,S2U5,Ner
0.11139999999998906,98.74326750449802,132.01320132014558,11,0.27660000000000196,0.2558139534883721,3.0681120883616666,0.9329279538192786,1.262134166080343,070922,S2U5,Ner
0.09829999999999472,111.90233977620133,114.50381679391157,11,0.21110000000000184,0.275,2.0416496529195785,1.2820961758955556,1.5606357222649998,070922,S2U5,Ner
0.06430000000000291,139.9688958009268,145.34883720928082,9,0.39990000000000236,0.20930232558139536,2.018774603815476,1.3904242470344021,1.7300413155394383,070922,S2U5,Ner
